epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2666.38,0.71617,0.58667,1.02576,0.89162,0.77429,0.87848,0.67332,0.88316,0.74404,1.12941,0.0011882,0.0011882,0.0011882
43,2727.38,0.71635,0.58356,1.02644,0.87494,0.77647,0.8613,0.64776,0.8727,0.82234,1.12781,0.0011684,0.0011684,0.0011684
44,2787.76,0.72183,0.56362,1.04147,0.90601,0.85294,0.89179,0.66528,0.89674,0.71143,1.16595,0.0011486,0.0011486,0.0011486
45,2847.68,0.70812,0.55907,1.02771,0.85303,0.88772,0.87971,0.66725,0.87558,0.76585,1.1294,0.0011288,0.0011288,0.0011288
46,2908.82,0.68329,0.53151,1.02353,0.86948,0.8229,0.85832,0.6493,0.89205,0.82747,1.1691,0.001109,0.001109,0.001109
47,2969.59,0.68754,0.54764,1.02447,0.88249,0.88351,0.88509,0.67374,0.90335,0.71025,1.17304,0.0010892,0.0010892,0.0010892
48,3029.52,0.70465,0.55531,1.0293,0.90436,0.83433,0.8808,0.67173,0.91194,0.74149,1.1778,0.0010694,0.0010694,0.0010694
49,3089.16,0.69277,0.53766,1.03256,0.87051,0.88235,0.86288,0.67306,0.84859,0.73273,1.1294,0.0010496,0.0010496,0.0010496
50,3148.19,0.69592,0.53205,1.03354,0.8806,0.87059,0.9024,0.69914,0.85331,0.69591,1.11747,0.0010298,0.0010298,0.0010298
51,3206.84,0.67178,0.51833,1.03228,0.88854,0.79723,0.85587,0.64903,0.92109,0.78347,1.14899,0.00101,0.00101,0.00101
52,3267.96,0.67263,0.49518,1.02041,0.87933,0.85294,0.889,0.67584,0.88814,0.68603,1.12062,0.0009902,0.0009902,0.0009902
53,3329.14,0.64644,0.50253,1.01421,0.90763,0.82941,0.89142,0.69304,0.85017,0.67572,1.12172,0.0009704,0.0009704,0.0009704
54,3389.94,0.68526,0.51739,1.03263,0.89899,0.88999,0.91912,0.72171,0.81935,0.60541,1.10004,0.0009506,0.0009506,0.0009506
55,3449.55,0.6431,0.49559,1.0076,0.90474,0.87059,0.92202,0.71209,0.82939,0.62043,1.08084,0.0009308,0.0009308,0.0009308
56,3508.6,0.69522,0.53317,1.02046,0.93568,0.85571,0.93064,0.7127,0.83681,0.62932,1.08223,0.000911,0.000911,0.000911
57,3567.32,0.69702,0.5403,1.05842,0.87111,0.91443,0.94032,0.73376,0.81491,0.60626,1.0842,0.0008912,0.0008912,0.0008912
58,3628.42,0.63512,0.48394,0.99778,0.84632,0.90707,0.92739,0.72379,0.81476,0.63564,1.08745,0.0008714,0.0008714,0.0008714
59,3689.68,0.62087,0.48249,1.00022,0.85188,0.87964,0.88842,0.67779,0.86308,0.69083,1.12826,0.0008516,0.0008516,0.0008516
60,3750.5,0.6394,0.49245,1.00147,0.90314,0.87759,0.90647,0.68817,0.86685,0.62981,1.146,0.0008318,0.0008318,0.0008318
61,3810.13,0.64211,0.47067,0.99276,0.89532,0.83529,0.89587,0.70839,0.8326,0.66177,1.09666,0.000812,0.000812,0.000812
62,3869.21,0.63026,0.46463,0.99323,0.87758,0.88235,0.90003,0.69466,0.84975,0.64578,1.08991,0.0007922,0.0007922,0.0007922
63,3927.94,0.64468,0.49014,1.01223,0.90168,0.87647,0.91777,0.72613,0.79543,0.63457,1.07367,0.0007724,0.0007724,0.0007724
64,3989.05,0.6179,0.46807,0.98164,0.9103,0.89544,0.93119,0.74137,0.77921,0.59345,1.05513,0.0007526,0.0007526,0.0007526
65,4050.2,0.64564,0.47069,0.99582,0.87665,0.88824,0.90607,0.71359,0.83051,0.64348,1.07338,0.0007328,0.0007328,0.0007328
66,4111.18,0.61847,0.43217,0.99883,0.91168,0.87647,0.91446,0.72676,0.79296,0.6178,1.07482,0.000713,0.000713,0.000713
67,4170.11,0.65025,0.48333,0.99946,0.90197,0.86596,0.89363,0.70444,0.81498,0.67743,1.09468,0.0006932,0.0006932,0.0006932
68,4228.74,0.6172,0.46022,1.00036,0.89488,0.84706,0.89295,0.716,0.80349,0.65078,1.0564,0.0006734,0.0006734,0.0006734
69,4287.32,0.62863,0.47218,0.99069,0.92903,0.88235,0.91458,0.72413,0.80018,0.59676,1.06203,0.0006536,0.0006536,0.0006536
70,4350.88,0.61729,0.4588,0.98672,0.92449,0.86427,0.89925,0.69747,0.8029,0.62582,1.09113,0.0006338,0.0006338,0.0006338
71,4411.72,0.59234,0.43146,0.98667,0.89095,0.90588,0.92377,0.73352,0.78323,0.57601,1.06573,0.000614,0.000614,0.000614
72,4471.86,0.59967,0.44313,0.98126,0.88993,0.87647,0.904,0.717,0.79426,0.64014,1.06177,0.0005942,0.0005942,0.0005942
73,4531,0.59434,0.42875,0.98078,0.91129,0.84118,0.90693,0.71982,0.81281,0.63955,1.09217,0.0005744,0.0005744,0.0005744
74,4590.19,0.61047,0.44222,0.97996,0.91694,0.84425,0.91082,0.72175,0.79538,0.61099,1.05423,0.0005546,0.0005546,0.0005546
75,4650.76,0.6038,0.45183,0.98847,0.89562,0.84706,0.88154,0.69351,0.82138,0.67445,1.07267,0.0005348,0.0005348,0.0005348
76,4711.88,0.59506,0.45245,0.97436,0.89084,0.87647,0.9024,0.70757,0.8246,0.65513,1.08394,0.000515,0.000515,0.000515
77,4772.84,0.57416,0.43096,0.97415,0.8799,0.905,0.91817,0.72801,0.79496,0.61876,1.06931,0.0004952,0.0004952,0.0004952
